Question;Answer;
What were those worships and prayers that were ordered by Allah to the community of Bani Israeel and which were continued by the Muslim Ummah also ? ;Salaat and Zakaat. (Al-Baqarah:43 )  ;
The Quran repeatedly warns of a certain day. Can you say which day it is ? ;Youmal Qiyamah. (Doomsday ) ;
Who were those people with whom Allah was pleased and they were pleased with Him, as mentioned in the Quran ? ;Companions of Prophet Muhammad. (Sallallahu Alaihi Wasallam )  ;
Who were the first serious students of the Quran ? ;As-haabus Suffah. ;
Which is the first Residential University where the faculty of the Quran was established for the first time ? ;Masjid-el-Nabi. Mosque of the Prophet (Sallallahu Alaihi Wasallam )  ;
By what name did the Quran address those noble and pious people who were selected by Allah to convey His message to mankind ? ;Nabi (Prophet )  and Rasool (Messenger ) .;
What type of a person does the Quran want to make ?; A Momin. ;
What is the scale or measure of one''s dignity according to the Quran ? ;Thaqwa. (Piety ) ;
What according to the Quran is the root cause of the evil ? ;Alcohol;
Which is the longest Surah ( Chapter )  in the Quran ? ;Surah-al-Baqarah. ;
Which is the smallest Surah in the Quran ? ;Surah-al-Kausar.;
How many times has the Bismillahir Rahmaanir Raheem appeared in the Quran ?;114 times;
Where did the first revelation of the Quran descend ?;In the Cave of Hira;
Which Surah was the first to be revealed ?;Surah Alaq;
How many Sajdahs are there in the Quran ?;Fourteen Sajdahs;
Which is that Surah that once read, it gives the reward of reciting ten Quran ?;Surah Yaaseen ;
Which Surah is regarded as the Heart of the Quran ?;Surah Yaaseen ;
In which year and by which leaders were the punctuation signs put into the Quran ( Fatah, Damma and Kasra )  ?;Through the command of Hujaaj ibn Yusuf in the year 143 Hijri;
Which Surah was revealed twice ?;Surah Faateha;
On which day did the first revelation descend ?;On a Monday;
How many Names of Allah are mentioned in the Quran ?;ninety nine;
Which is the most exalted verse of the Quran ?;Ayatul Kursi;
Which Surah in the Quran has the name of a blessed woman ?;Surah Maryam;
Which is the only Sahabi, whose name is mentioned in the Quran ?;Zaid bin Haaritha (radi Allahu anhu ) ;
Which are those two Surahs of the Quran whose names are reputed with only one Alphabet each ?;Surah Saad and Surah Qaaf;
Which two Surahs have been regarded as quarter of the Quran ?;Surah Zilzaal and Surah Kaafiroon;
Which Surah, if read thrice gives the merit of reciting the entire Quran ?;Surah Ikhlaas;
Our Nabi's ( sall Allaho alaihi wasallam )  blessed name Ahmed has appeared how many times in the Quran ?;Once;
Which one individual blessed females name is mentioned in the Quran ?;Bibi Maryam;
Which is that first Surah where the Ayah of Sajdah was revealed ?;Surat An-Najm;
Which is that first Surah where the Ayat of Sajdah was revealed ?;Surat An-Najm;
What is the first Surah in which a Prostration is revealed;Surat An-Najm was the first Surah in which a prostration was revealed;
How many names of Ambia ( Prophets )  are mentioned in the Quran ?;Twenty Five;
Which Islamic months are mentioned in the Quran ?;Ramadaan;
The names of which Jinns are mentioned in the Holy Quran ?;Only the name of Iblees ?;
Which Battle has the Name of One Surah ?;Surah Ahzaab;
The Name of Which Surah is named after a basic pillar of Islam ?;Surah Al Haj;
In Surah Rahman, how many times 'fabi ayye aalahi rabbikuma tukazziban' is used ?;31 times;
Which Nabi ( alaihis salaam )  was the first to come on earth ?;Nabi Adam (alaihis salaam ) ;
Who was the first human from whom the human race came into existence ?;Adam (alaihis salaam ) ;
How was Hazrat Hawa created ?;From the left rib of Adam (alaihis salaam ) ;
On which day was Hazrat Adam ( alaihis salaam )  born ?;On a Friday;
When there was an argument between the two sons of Hazrat Adam ( alaihis salaam ) , who was killed ?;Qaabil killed Haabil;
Who killed  first on earth ?; Haabil;
From whom did humans learn about making graves ?;From a crow;
Which language did Hazrat Adam ( alaihis salaam )  speak in Paradise  ?;Arabic;
Which human was born without a mother ?;Hawa;
Which was the first Nabi to be raised alive into the skies ?;Idrees (alaihis salaam ) ;
For how many consecutive days did it rain during the great floods ?;Forty nights and days continuously;
During the great floods, from where did water first start to gush ?;From Tanoor;
Which Sura starts with word ‘ Tabara Kallazi’ ? ;Mulk & Furkan.;
 In how many years were Macci Sura,s revealed ? ; 13 years.;
 In how many years were Madania Sura,s revealed ?; 10 years.;
What are the Islamic festivals ?; Idul Fitre, marks the end of fasting in the month of Ramadan and is celebrated with public prayers, feasts and exchange of gifts. Idul Adha marks the end of the Hajj or the annual pilgrimage to Mecca. After the public prayers, those who can afford, sacrifice a lamb or a goat to signify Prophet Abraham's obedience to God, shown by his readiness to sacrifice his son Ishmael. Idul Fitre, marks the end of fasting in the month of Ramadan and is celebrated with public prayers, feasts and exchange of gifts. Idul Adha marks the end of the Hajj or the annual pilgrimage to Mecca. After the public prayers, those who can afford, sacrifice a lamb or a goat to signify Prophet Abraham's obedience to God, shown by his readiness to sacrifice his son Ishmael.;
Does Islam oppress women ?;" No. On the contrary, Islam elevated the status of women 1,400 years ago by giving them the right to divorce, the right to have financial independence and support and the right to be identified as dignified women (Hijab )  when in the rest of the world, including Europe, women had no such rights. Women are equal to men in all acts of piety (Quran 33:32 ) . Islam allows women to keep their maiden name after marriage, their earned money and spend it as they wish, and ask men to be their protector as women on the street can be molested. Prophet Muhammad (P )  told Muslim men, ""the best among you is the one who is best to his family."" Not Islam, but some Muslim men, does oppress women today. This is because of their cultural habits or their ignorance about their religion. Female Genital Mutilations has nothing to do with Islam. It is a pre Islamic African Custom, practiced by non-Muslims including coptic Christians as well.";
What is ' Islamic Fundamentalism ' ?;" There is no concept of ""Fundamentalism"" in Islam. The western media has coined this term to brand those Muslims who wish to return to the basic fundamental principles of Islam and mould their lives accordingly. Islam is a religion of moderation and a practicing God fearing Muslim can neither be a fanatic nor an extremist.";
What is the Islamic Year ? ;The Islamic year started from the migration (Hijra )  of Prophet Muhammad (P )  from Mecca to Medina in 622 AD. It is a lunar year of 354 days. The first month is called Muharram. ;
What are the dietary prohibitions in Islam ?; Muslims are told in the Quran not to eat pork or pork products, meat of the animals who died before being slaughtered or the carnivorous animals (as they eat dead animals ) , nor drink blood or intoxicants such as wine or use any illicit drugs.;
What is the dress code for Muslims ?; Islam emphasizes modesty. No person should be perceived as a sex object. There are certain guidelines both for men and women that their dress should neither be too thin nor too tight to reveal body forms. For men, they must at least cover the area from the knee to navel and for women, their dress should cover all areas except the hands and face. The veil is not essential;
Will the good actions of the non-believers be wasted ?;" No. The Quran clearly says that, ""anyone who has an atom's worth of goodness will see it and anyone who has done an atom's worth of evil will also see it"" (Quran 99:7-8 ) . By that it is meant that those who are non- believers but have done good will be rewarded in this world for their good deed. On the other hand, those who do good if they are Muslims, they will be rewarded not only in this world but also in the world hereafter. However, the final Judgment is up to God himself. (Quran 2:62 ) .";
Do Muslims believe in the hereafter ?; God is Just and manifest His justice, He established the system of accountability. Those who do good will be rewarded and those who do wrong will be punished accordingly. Thus, He created Heaven and Hell and there are admission criteria for both. Muslims believe that the present life is a temporary one. It is a test and if we pass the test, we will be given a life of permanent pleasure in the company of good people in Heaven;
What is the purpose of worship in Islam ?;  The purpose of worship in Islam is to be God conscious. Thus the worship, whether it is prayer, fasting, or charity, is a means to achieve God consciousness so that when one becomes conscious of God, in thought and in action, he is in a better position to receive His bounties both in this world and the hereafter;
What are the pillars of Islam ?;There are five major pillars of Islam which are the articles of faith. These pillars are 1 )  the belief (Iman )  in one God and that Muhammad (Peace be upon him )  is His messenger, 2 )  prayer (Salat )  which are prescribed five times a day, 3 )  fasting (Siyam )  which is required in the month of Ramadan, 4 )  charity (Zakat )  which is the poor-due on the wealth of the rich and 5 )  hajj which is the pilgrimage to Mecca once in a lifetime if one can afford it physically and financially. All the pillars should be of equal height and strength in a building in order to give the building its due shape and proportions. It is not possible that one would do hajj without observing fasting or without practicing regular prayers. Now think of a building which has pillars only. It would not be called a building. In order to make it a building, it has to have a roof, it has to have walls, it has to have doors and windows. These things in Islam are the moral codes of Islam such as honesty, truthfulness, steadfastness and many other human moral qualities. Thus in order to be a Muslim, one should not only be practicing the pillars of Islam but should also have the highest possible attribute for being a good human being. Only then the building is completed and looks beautiful.;
Is Islam Intolerant of other religious minorities ?; Islam recognizes the rights of the minority. To ensure their welfare and safety, Muslim rulers initiated a tax (Jazia )  on them. Prophet Muhammad (P )  forbade Muslim armies to destroy churches and synagogues. Caliph Umer did not even allow them to pray inside a church. Jews were welcomed and flourished in Muslim Spain even when they were persecuted in the rest of Europe. They consider that part of their history as the Golden Era. In Muslim countries, Christians live in prosperity, hold government positions and attend their church. Christian missionaries are allowed to establish and operate their schools and hospitals. However, the same religious tolerance is not always available to Muslim minorities as seen in the past during Spanish inquisition and the crusades, or as seen now by the events in Bosnia, Israel and India. Muslims do recognize that sometimes the actions of a ruler do not reflect the teachings of his religion.;
What do Muslims think of Jesus ? ( Peace be upon him ) ;" Muslims think highly of Jesus (Peace be upon him )  and his worthy mother, Mary. The Quran tells us that Jesus was born of a miraculous birth without a father. ""Lo! The likeness of Jesus with Allah is the likeness of Adam. He created him of dust, and then He said unto him: Be and he is"" (Quran 3.59 ) . He was given many miracles as a prophet. These include speaking soon after his birth in defense of his mother's piety. God's other gifts to him included healing the blind and the sick, reviving the dead, making a bird out of clay and most importantly, the message he was carrying. These miracles were given to him by God to establish him as a prophet. According to the Quran, he was not crucified but was raised into Heaven. (Quran, Chapter Maryam ) .";
What is the Islamic view on Dating ?; Islam does not approve of intimate mixing of the sexes, and forbids premarital or extramarital sex. Islam encourages marriage as a shield to such temptations and as a means of having mutual love, mercy and peace;
What is the Islamic view on Abortion ?; Islam considers abortion as murder and does not permit it.;
What is the Islamic view on Homosexuality and AIDs ? ;Islam categorically opposes homosexuality and considers it a sin. However, Muslim physicians are advised to care for AIDs patients with compassion just as they would for other patients;
What is the Islamic view on Euthanasia and Suicide ? ;Islam is opposed to both suicide and euthanasia. Muslims do not believe in heroic measures to prolong the misery in a terminally ill patient;
What is the Islamic view on Organ Transplantation ? ;Islam stresses upon saving lives (Quran 5:32 ) , thus, transplantation in general would be considered permissible provided a donor consent is available. The sale of the organ is not allowed;
What is Islam ?; Islam is not a new religion, but the same truth that God revealed through all His prophets to every people. For a fifth of the world's population, Islam is both a religion and a complete way of life. Muslims follow a religion of peace, mercy, and forgiveness, and the majority has nothing to do with the extremely grave events, which have come to be associated with their faith. ;
What does Islam mean ? ; The Arabic word Islam simply means 'submission', and derives from a word meaning 'peace'. In a religious context it means complete submission to the will of God. 'Muhammadanism' is thus a misnomer because it suggests that Muslims worship Muhammad (peace be upon him )  rather than God. 'Allah' is the Arabic name for God, which is used by Arab Muslims and Christians alike;
What is the meaning of Islam;The Arabic word Islam simply means 'submission', and derives from a word meaning 'peace'. In a religious context it means complete submission to the will of God. 'Muhammadanism' is thus a misnomer because it suggests that Muslims worship Muhammad (peace be upon him )  rather than God. 'Allah' is the Arabic name for God, which is used by Arab Muslims and Christians alike;
What do Muslims believe about God ? ;Muslims believe in One, Unique, Incomparable God in the Angels created by Him, in the prophets through whom His revelations were brought to mankind, in God's complete authority over human destiny and in life after death. Muslims believe in a chain of prophets starting with Adam and including Noah, Abraham, Ishmael, Isaac, Jacob, Joseph, Job, Moses, Aaron, David, Solomon, Elias, Jonah, John the Baptist and Jesus, (peace be upon them ) . But God's final message to man, a reconfirmation of the eternal message and a summing-up of all that has gone before was revealed to the Prophet Muhammad (peace be upon him )  through Gabriel;
What do Muslims believe about god ? ;Muslims believe in One, Unique, Incomparable God in the Angels created by Him, in the prophets through whom His revelations were brought to mankind, in God's complete authority over human destiny and in life after death. Muslims believe in a chain of prophets starting with Adam and including Noah, Abraham, Ishmael, Isaac, Jacob, Joseph, Job, Moses, Aaron, David, Solomon, Elias, Jonah, John the Baptist and Jesus, (peace be upon them ) . But God's final message to man, a reconfirmation of the eternal message and a summing-up of all that has gone before was revealed to the Prophet Muhammad (peace be upon him )  through Gabriel;
What do Muslims believes ? ;Muslims believe in One, Unique, Incomparable God in the Angels created by Him, in the prophets through whom His revelations were brought to mankind, in God's complete authority over human destiny and in life after death. Muslims believe in a chain of prophets starting with Adam and including Noah, Abraham, Ishmael, Isaac, Jacob, Joseph, Job, Moses, Aaron, David, Solomon, Elias, Jonah, John the Baptist and Jesus, (peace be upon them ) . But God's final message to man, a reconfirmation of the eternal message and a summing-up of all that has gone before was revealed to the Prophet Muhammad (peace be upon him )  through Gabriel;
What are Muslim,s believes ? ;Muslims believe in One, Unique, Incomparable God in the Angels created by Him, in the prophets through whom His revelations were brought to mankind, in God's complete authority over human destiny and in life after death. Muslims believe in a chain of prophets starting with Adam and including Noah, Abraham, Ishmael, Isaac, Jacob, Joseph, Job, Moses, Aaron, David, Solomon, Elias, Jonah, John the Baptist and Jesus, (peace be upon them ) . But God's final message to man, a reconfirmation of the eternal message and a summing-up of all that has gone before was revealed to the Prophet Muhammad (peace be upon him )  through Gabriel;
What do Muslims believe about God ( Allah ) ? ;Muslims believe in One, Unique, Incomparable God in the Angels created by Him, in the prophets through whom His revelations were brought to mankind, in God's complete authority over human destiny and in life after death. Muslims believe in a chain of prophets starting with Adam and including Noah, Abraham, Ishmael, Isaac, Jacob, Joseph, Job, Moses, Aaron, David, Solomon, Elias, Jonah, John the Baptist and Jesus, (peace be upon them ) . But God's final message to man, a reconfirmation of the eternal message and a summing-up of all that has gone before was revealed to the Prophet Muhammad (peace be upon him )  through Gabriel;
Who is Allah ? ;Allah means God. It is a personal name, which Allah calls Himself in the Quran. That is where it originates. It can also be found in an Aramaic copy of the Bible, and even Christian Arabs say Allah.;
Does Allah look like us ? ;No, Allah is perfect. He is not like any of His creations. He has told us that He has hands, eyes, a face, and feet, but all of these attributes are befitting to His might and glory. A Muslim does not say a single thing about Allah other than what Allah says about Himself. Allah is Perfect and Unique;
What does it mean to believe in Allah ? ;"To believe in Allah means to believe in total perfection, and uniqueness. It means to believe in His prophets because they are His, and He sent them. We cannot pick and choose. A Muslim must believe in all the prophets of Allah. It means to believe in the Angels! We must love them all. We cannot hate an Angel say, for example, Michael to whom rain and the vegetation of the Earth are attributed or Gabriel to whom revelation (bringing down the scriptures to the prophets )  is attributed It means to believe in Allah's predestination of good and bad. It means to believe in the last day: The day of Judgment
";
Do we see Allah ? ;Allah is not like the sun. Anyone can see the sun. But Allah is the most beautiful. Nothing is as beautiful as Allah. Actually looking at Allah is the greatest pleasure of the people in Paradise. This pleasure Allah does not give anyone but the believers;
Can we see Allah ? ;Allah is not like the sun. Anyone can see the sun. But Allah is the most beautiful. Nothing is as beautiful as Allah. Actually looking at Allah is the greatest pleasure of the people in Paradise. This pleasure Allah does not give anyone but the believers;
Does Allah see us ? ;Allah sees us and knows everything about us. He knows us better than we know ourselves. There is not a leaf on a tree that blows away, or stays in its place except that He knows it. There is not a dry spot, nor a wet spot, nor a grain in the depths of the earth except that Allah knows it;
Can Allah see us ? ;Allah sees us and knows everything about us. He knows us better than we know ourselves. There is not a leaf on a tree that blows away, or stays in its place except that He knows it. There is not a dry spot, nor a wet spot, nor a grain in the depths of the earth except that Allah knows it;
Does Allah answer my prayers ?;We know that Allah answers all the prayers of the believers. This can be in 4 ways: Getting what we ask for  Getting something as good or better!  Being spared something bad that would have happened otherwise. Being rewarded on the day of Judgment with a much greater reward than what we were asking for on earth;
What can I ask of Allah ?;Anything, but don't ask Him to do things like make you a prophet because He has already said that there will be no more prophets. You can ask Allah for guidance, meaning you can ask Him to show you the correct religion;
Who is Muhammad ( peace be upon him )  ? ;Muhammad (peace be upon him )  was born in Makkah in the year 571 A.D., at a time when Christianity was not yet fully established in Europe. Since his father died before his birth and his mother shortly afterwards, so he was raised by his uncle from the respected tribe of Quraish. As he grew up, he became known for his truthfulness, generosity and sincerity so much that he was sought after for his ability to arbitrate in disputes. The historians describe him as calm and meditative. Muhammad (peace be upon him )  was of a deeply religious nature, and had long detested the decadence of his society. It became his habit to meditate from time to time in the Cave of Hira near the summit of Jabal al-Nur, the Mountain of Light near Makkah;
How did Muhammad ( peace be upon him )  become a prophet and a messenger of God ? ;At the age of 40, while engaged in a meditative retreat, Muhammad (peace be upon him )  received his first revelation from God through the Angel Gabriel. This revelation, which continued for twenty-three years, is known as the Quran. As soon as he began to recite the words he heard from Gabriel, and to preach the truth that God had revealed to him, he and his small group of followers suffered bitter persecution, which grew so fierce that in the year 622 God gave them the command to emigrate. This event, the Hijrah, 'migration', in which they left Makkah for the city of Madinah some 260 miles to the north, marks the beginning of the Muslim calendar. After several years, the Prophet (peace be upon him )  and his followers were able to return to Makkah, where they forgave their enemies and established Islam definitively. Before the Prophet (peace be upon him )  died at the age of 63, the greater part of Arabia was Muslim, and within a century of his death Islam had spread to Spain in the West and as Far East as China.;
What is the Quran; ? The Quran is a record of the exact words revealed by God through the Angel Gabriel to the Prophet Muhammad (peace be upon him ) . It was memorized by Muhammad (peace be upon him )  and then dictated to his companions, and written down by scribes, who crosschecked it during his lifetime. Not one word of its 114 Surahs, has been changed over the centuries, so that the Quran is in every detail the unique and miraculous text which was revealed to Muhammad (peace be upon him )  fourteen centuries ago;
What is the Quran about ?;The Quran, the last revealed Word of God, is the prime source of every Muslim's faith and practice. It deals with all the subjects which concern us as human beings: wisdom, doctrine, worship, and law, but its basic theme is the relationship between God and His creatures. At the same time, it provides guidelines for a just society, proper human conduct and an equitable economic system;
Are there any other sacred sources ?; Yes, the Sunnah, the practice and example of the Prophet (peace be upon him ) , is the second authority for Muslims. A Hadith is a reliably transmitted report of what the Prophet (peace be upon him )  said, did, or approved. Belief in the Sunnah is part of the Islamic faith. Examples of the Prophet's sayings The Prophet (peace be upon him )  said: 'God has no mercy on one who has no mercy for others.' 'None of you truly believes until he wishes for his brother what he wishes for himself.' 'Powerful is not he who knocks the other down, indeed powerful is he who controls himself in a fit of anger.' (From the Hadith collections of Bukhari, Muslim, Tirmidhi and Baihaqi. ) ;
Who were the parents of Jesus ( peace be upon him )  ?; Jesus is the son of Virgin Mary and he had no father. Allah created Jesus ;
Can Jesus ( peace be upon him ) , or Muhammad ( peace be upon him )  be worshipped ? ;No, Allah does not accept that a prophet, a person, an angel, a cow, a stone, or anything be worshipped in place of Him or even along with Him. Worship must be to Allah, the Creator of them.;
Is Allah the same as what Christians call 'the father' ?;" Allah is the Creator, who Jesus (peace be upon him )  worshipped. He is the Creator who spoke to Moses and split the sea for Moses and his followers. That is Allah. But Allah tells us: ""Say Allah is one, He is Perfect, He has never begotten, nor was He begot, and there is no one equal to Him.""";
Is there a trinity in Islam ?; No. Allah is one and perfect;
What about someone who has never heard of Islam ? ;"Allah is the most just. It is inconceivable to perceive of anyone acting with more beneficence than Allah. Allah is the most just and in the Quran He said: ""We will not punish without sending someone to warn you"". The ""We"" here is the majestic we used in Arabic. So if a person never heard about Islam, and was never warned clearly, Allah would have a special test for that person that He knows is equal to the chance that person would have had on earth";
When is the Day of Judgment ?; Only Allah knows;
What is it that keeps us from entering Heaven ? ;Worship of anyone other than Allah is the greatest sin. It is called shirk, and this is not forgiven except through repentance. ;
What about non-Muslims do, they go to heaven ?;"Allah only accepts Islam. He says in the Quran: ""Whoever seeks a religion other than Islam it won't be accepted of him, and he will be one of the losers in the hereafter"". I would rather lose anywhere, but not lose in the hereafter. This is because hellfire is eternal. It never ends and we never die when we go there, if we go there";
Do we believe that Allah created the heavens and earth in 6 days ?;Yes, we do;
Did Allah create evil ?;" Yes, Allah created the good and the bad. Whatever bad happens to us is due to our sins. We sin and Allah pardons much of what we do, however, when something bad happens to us it is our fault, and we are to blame. Bad things that happen to a person are a chance for that person to reflect and ask: ""Why is this happening to me ?"" A chance for a person to return from his sin and obey and worship Allah";
Who are my best friends ?; Your best friends are the ones that care where you go after you are dead. This is how the prophets acted. They cared that we go to heaven, even if it meant some hardship on earth;
Who is my worst enemy ?;That would be the devils, whether they are human devils (evil people ) , or Jinn devils (like Iblis ) . The Arabic word for a devil is Shaytan (similar to Satan ) . Satan wants us all to go to hell. He wants us to be bad on earth. Whether we get rich or do lots of wrong things that we appear to enjoy, he does not care that, but he wants to make sure we don't go to heaven;
Do bad things happen to the believers ( good people )  ?; Yes, they do. But they appear bad to the believers because they are things people don't like. Who likes breaking a leg ? However, when a bad thing happens to a believer this believer is patient. He praises Allah in all circumstances. He knows Allah does not decree something unless it is for his own good.;
Why is the family so important to Muslims ? ;The family is the foundation of Islamic society. The peace and security offered by a stable family unit is greatly valued, and seen as essential for the spiritual growth of its members. A harmonious social order is created by the existence of extended families, children are treasured, and rarely leave home until the time they marry;
What about food ?; Although much simpler than the dietary law followed by Jews and the early Christians, the code which Muslims observe forbids the consumption of pig meat or any kind of intoxicating drink. The Prophet Muhammad (peace be upon him )  taught that 'your body has rights over you', and the consumption of wholesome food and the leading of a healthy lifestyle are seen as religious obligations. The Prophet (peace be upon him )  said: 'Ask God for certainty [of faith] and well-being, for after certainty, no one is given any gift better than health!';
What is the Kabah ? ;The Kabah is the place of worship, which God commanded Abraham and Ishmael to build over four thousand years ago. The building was constructed of stone on what many believe was the original site of a sanctuary established by Adam. God commanded Abraham to summon all mankind to visit this place, and when pilgrims go there today they say 'At Thy service, O Lord', in response to Abraham's summons;
Who are amongst the people that must fast in the blessed month of Ramadan and those that are not obliged to fast in this month ?; Those who must fast: All mature and sane Muslims, male and female. Those who are exempted: The sick, the travelers, too old to fast, women in child birth, women with periods, pregnant women whose health is endangered, breast feeding women whose health is endangered;
What facts about the month of Ramadan have been related by Hadith in regards to what takes place related to heaven and hell ?; The gates of heaven are opened and the gates of hell are shut;
What is one of the Sunnahs when a Muslim, for a valid reason cannot keep fast ?; Not to eat in the presence of a fasting person. Repay it by fasting the number of days missed after Ramadan or give kafaarah equal to the amount of one Sadaqa tul Fitr in charity to the poor for each day missed;
What connection does the Holy Quran and the blessed month of Ramadan have that makes the month very important and sacred ?; The Holy Quran was revealed in Ramadan;
It is said that the odor of a fasting Muslim is more fragrant to Allah Subhanahu wa Ta`ala than what ? ;Musk;
Is it a requirement to enter Masjid Haram from the Baab as-Salaam entrance ?;There is no such requirement. You can enter from any of the many gates;
Can I smoke when I'm in Ihram ?; Try to give up this habit for the good of your health and the well-being of your family. Many chain smokers have returned from the Hajj as non-smokers for good. Alhamdulillah;
When I stone the Jamaraat, is it necessary to hit the target ? ;It is acceptable if the stone falls into the circle without hitting the target;
What does Muslim believe about angels ?;Angels are mentioned many times in the Quran and hadith (prophetic sayings ) . Unlike humans, angels are described as not possessing free will but as being by nature assigned to specific duties. Two of the most prominent angels mentioned by name in the Quran are Gabriel (Jibril )  and Michael (Mikhail ) . Gabriel is the angel of revelation and Michael is the angel of compassion;
What does Islam teach ?; Islam’s primary message, as understood by the overwhelming majority of Muslims, is the continuation of the monotheistic, Abrahamic tradition’s belief in one God. The three major dimensions of Islam include beliefs, ritual practices, and the goal and effort to improve one’s character and actions. There are six major beliefs in Islam. There are also five central practices which are referred to as the Five Pillars. The last dimension of Islam focuses on good works and excellence in character in both one’s spiritual relationship with God and one’s everyday actions;
Why did the Prophet Muhammad marry so many women ?;Polygamy was common in 7th-century Arabia, as it has been in many other cultures, especially for a political leader, for instance, the patriarchs in the Hebrew Bible are shown as having multiple wives, and the kings of Israel are described as having harems numbering in some cases into the hundreds. According to Muslim historians, the Prophet Muhammad’s marriages were contracted to assist needy widows and divorcees and to solidify the community of Muslims by forging alliances among the tribes in and around Medina. In light of the time and place, there was nothing unique or unusual about Muhammad marrying several women;
What do Muslims believe about Mary ?;Muslims generally believe that she is the Virgin Mother of the Prophet Jesus. An entire chapter in the Quran is named after her. The chapter called Mary (Maryam in Arabic )  and other verses in the Quran emphasize her piety, righteousness, and status as an exemplar for all people, male and female;
Why is it that Muslims do not celebrate the birth of Jesus at Christmas ?;The celebration of Christmas, although it certainly has theological dimensions for many Christians, is a part of various Christian cultures and not a part of Muslim cultures. Among Muslims, even the celebration of Muhammad’s birthday is a subject of wide debate;
Is the Quran read only in Arabic ?;Since only 20% of all Muslims are Arabs, the Quran has been translated into and is read in many other languages, with multiple English translations. However, because Muslims consider the original Arabic text to be the literal word of God, during ritual prayers, the Quran is recited in its original Arabic language (just as some Catholic churches still perform mass in Latin or synagogues perform part of their prayer in Hebrew ) . In order to fully comprehend the Quran for instruction and spiritual enrichment, non-Arab Muslims also read the translation in their native language;
What are the different kinds of prayer that Muslims practice ?;Prayer among Muslims can take many forms. Three very common forms are Salat (ritual prayer ) , Dhikr (remembrance of God, which usually involves the repetition of God’s names ) , and Du’a (supplication, or asking God for a need or desire or for forgiveness ) .;
How long does each prayer ( Salat )  take ?;Each prayer (Salat )  lasts 5 to10 minutes, depending on the prescribed length of the prayer and the number and length of Quranic verses recited. Other factors may also influence the length of time a Muslim prays, including the number of additional (non-obligatory )  prayers one chooses to perform, and the pace at which one recites the Quran.;
Can anyone become a Muslim ? ;Yes anyone can. There are two declarations, which are necessary:1- To bear witness that no one deserves to be worshiped except Allah.2- To bear witness that Prophet Muhammad (peace be upon him )  is the Messenger of Allah. This makes a person Muslim. But it should be said in Arabic. Next a person takes a shower and s/he is a Muslim. Then what ? After a person becomes Muslim s/he is taught about prayers, fasting, alms to the poor, and pilgrimage. These are the pillars of Islam. Then what ? Muslims are brothers and sisters. A Muslim should love for his brother or sister what s/he loves for him/herself. Allah's wealth does not run out and Allah can provide for us all. We pray for each other, and love each other, and love for our brothers and sisters what we love for ourselves;
Are there signs for the day of Judgment?;To name a few: 1- Objects will begin to talk. 2- There will be much killing, the killer won't know why he killed, and the guy that was killed won't know why he was killed. 3- The Antichrist will come. 4- Prophet Jesus son of Mary will return. 5- Gog and Magog will be set free. 6- The sun will rise from the west (after this sign there can be no more repentance ) .;
What is it that keeps us from entering Heaven ? ;Worship of anyone other than Allah is the greatest sin. It is called shirk, and this is not forgiven except through repentance. ;
Do bad things happen to the believers ( good people )  ? ;Yes, they do. But they appear bad to the believers because they are things people don't like. Who likes breaking a leg ? However, when a bad thing happens to a believer this believer is patient. He praises Allah in all circumstances. He knows Allah does not decree something unless it is for his own good. ;
Who is my worst enemy ?;That would be the devils, whether they are human devils (evil people ) , or Jinn devils (like Iblis ) . The Arabic word for a devil is Shaytan (similar to Satan ) . Satan wants us all to go to hell. He wants us to be bad on earth. Whether we get rich or do lots of wrong things that we appear to enjoy, he does not care that, but he wants to make sure we don't go to heaven;
Who are my best friends ? ;Your best friends are the ones that care where you go after you are dead. This is how the prophets acted. They cared that we go to heaven, even if it meant some hardship on earth.;
Who are amongst the people that must fast in the blessed month of Ramadan and those that are not obliged to fast in this month ? ;Those who must fast: All mature and sane Muslims, male and female. Those who are exempted: The sick, the travelers, too old to fast, women in child birth, women with periods, pregnant women whose health is endangered, breast feeding women whose health is endangered;
Is the Quran read only in Arabic ?;Since only 20% of all Muslims are Arabs, the Quran has been translated into and is read in many other languages, with multiple English translations. However, because Muslims consider the original Arabic text to be the literal word of God, during ritual prayers, the Quran is recited in its original Arabic language (just as some Catholic churches still perform mass in Latin or synagogues perform part of their prayer in Hebrew ) . In order to fully comprehend the Quran for instruction and spiritual enrichment, non-Arab Muslims also read the translation in their native language;
What is Jihad ?;The Arabic term jihad literally means “striving.” Jihad is often mistranslated as “holy war.” While the word can refer to military action against an aggressor, this is by no means the only meaning of the term. Traditionally, Muslim sources distinguish between the “greater” and the “lesser” jihad. The “greater jihad” is described by Muslim scholars as an internal struggle to avoid negative actions and cultivate good character. The “lesser jihad” is the external striving for justice, in selfdefense or against oppression. One can do this in one’s heart, with one’s tongue or pen, and, if these are ineffective, by forcibly trying to change an oppressive situation;
Why can’t Muslims eat pork ?;Because the Quran forbids the practice, a dietary restriction also followed by observant Jews;
Why can’t Muslims drink alcoholic beverages;Because the Quran forbids the practice. The Quran states that while alcohol has some benefits, its harm outweighs its benefits. This prohibition is similar to Buddhist teachings;
